number_id,number
235,221668
236,24221
237,86544
238,210091
239,120674
240,14321
241,181531
242,54990
243,75822
244,112538
245,81435
246,126698
247,196037
248,105585
249,1179
250,218456
251,142451
252,128999
253,190458
254,11789
255,201154
256,20269
257,164725
258,152222
259,6627
260,29315
261,185009
262,115585
263,96497
264,108963
265,220594
266,122855
267,90024
268,26684
269,140305
270,212368
271,94820
272,176019
273,46166
274,193563
275,97725
276,247472
277,200225
278,171871
279,93678
280,37822
281,120607
282,56219
283,95164
284,113690
285,44081
286,32768
287,238229
288,150826
289,179756
290,91189
291,86682
292,188375
293,160672
294,45805
295,193426
296,201138
297,157789
298,68209
299,175037
300,154849
301,19959
302,78381
303,58830
304,237514
305,184660
306,202193
307,248432
308,124001
309,168809
310,22142
311,166230
312,241668
313,104778
314,12502
315,194886
316,8246
317,41193
318,226228
319,125349
320,72323
321,109959
322,96958
323,52449
324,42476
325,35339
326,13787
327,9966
328,108428
329,126112
330,242403
331,133224
332,121844
333,231907
334,70467
335,130527
336,184199
337,95429
338,142753
339,104623
340,49774
341,4426
342,72999
343,194900
344,44247
345,133123
346,83150
347,175460
348,42332
349,152872
350,110264
351,64403
352,223503
353,88479
354,189608
355,144058
356,217443
357,81214
358,215327
359,199399
360,154938
361,33660
362,41304
363,61148
364,72012
365,16380
366,5561
367,51629
368,211519
369,230388
370,244172
371,80703
372,184303
373,83951
374,215715
375,45546
376,192763
377,87291
378,13500
379,219100
380,71608
381,87274
382,48541
383,100354
384,149866
385,244201
386,61131
387,71594
388,186020
389,166401
390,58935
391,123105
392,136244
393,248118
394,46106
395,207796
396,176885
397,86273
398,163485
399,61037
400,42978
401,86550
402,57045
403,80048
404,125841
405,190356
406,142848
407,237593
408,83493
409,123185
410,126508
411,95197
412,45102
413,95014
414,96358
415,79689
416,177940
417,113534
418,3872
419,16984
420,176649
421,101559
422,70108
423,62700
424,15495
425,136904
426,8361
427,182054
428,179395
429,136665
430,185370
431,89642
432,162782
433,107679
434,131406
435,219747
436,138777
437,177359
438,6299
439,106182
440,210825
441,216891
442,234837
443,162440
444,223711
445,140038
446,40553
447,123965
448,87043
449,235748
450,130439
451,128521
452,22324
453,124082
454,217600
455,103770
456,133425
457,167473
458,207210
459,7348
460,139328
461,165512
462,6594
463,196298
464,116632
465,154158
466,51047
467,167919
468,56184
469,31494
470,54623
471,133870
472,171249
473,70773
474,201197
475,33197
476,71419
477,197444
478,189412
479,57269
480,95920
481,185519
482,46883
483,230172
484,201989
485,131923
486,173848
487,202819
488,130997
489,181009
490,172678
491,76876
492,28824
493,84438
494,70261
495,197959
496,103518
497,37846
498,58899
499,208062
500,31396
501,202275
502,89351
503,82778
504,168593
505,141111
506,236840
507,82251
508,92806
509,203851
510,95483
511,57923
512,154915
513,88912
514,192179
515,148161
516,163695
517,204552
518,146456
519,203058
520,83844
521,248041
522,2341
523,99452
524,239457
525,230679
526,153363
527,80254
528,236367
529,132394
530,143886
531,175489
532,239838
533,94056
534,160510
535,147833
536,127316
537,216493
538,29039
539,112540
540,13884
541,15971
542,228731
543,33688
544,28048
545,24788
546,155937
547,219673
548,45976
549,244874
550,141173
551,243737
552,61000
553,160729
554,189372
555,8067
556,153857
557,155371
558,228899
559,66872
560,97973
561,148702
562,69617
563,36580
564,77598
565,109650
566,114109
567,83804
568,149116
569,49522
570,131744
571,64662
572,11482
573,104425
574,103046
575,13984
576,180963
577,217074
578,82498
579,5588
580,239630
581,48891
582,111469
583,120069
584,237326
585,172900
586,90683
587,12647
588,115153
589,122639
590,232878
591,66654
592,184551
593,192147
594,94529
595,192308
596,196143
597,56707
598,17586
599,123270
600,245784
601,80524
602,98443
603,199614
604,67533
605,118673
606,191335
607,196720
608,192635
609,22954
610,71487
611,89527
612,95262
613,134216
614,146530
615,39920
616,141915
617,108727
618,226806
619,84608
620,58973
621,80835
622,228324
623,183063
624,133037
625,245336
626,217661
627,93799
628,176781
629,93972
630,135751
631,157486
632,172920
633,46048
634,213904
635,165969
636,18185
637,210740
638,2783
639,186950
640,182886
641,6917
642,60890
643,119601
644,37697
645,28830
646,63253
647,154477
648,128559
649,131161
650,48131
651,22964
652,247542
653,184535
654,169614
655,191792
656,46171
657,88727
658,207470
659,189860
660,7102
661,240212
662,10851
663,132218
664,22120
665,52659
666,27628
667,182622
668,76320
669,124939
670,124449
671,176689
672,219466
673,168026
674,247151
675,223239
676,89772
677,143624
678,232608
679,140814
680,102823
681,129389
682,189082
683,145250
684,140445
685,28672
686,3420
687,159882
688,149832
689,133028
690,182281
691,29444
692,79446
693,233971
694,137562
695,117928
696,47627
697,241671
698,189144
699,45063
700,248334
701,219314
702,49851
703,229398
704,34901
705,74845
706,241347
707,190204
708,102077
709,144572
710,243565
711,120655
712,198580
713,8386
714,184404
715,19662
716,191616
717,78148
718,93722
719,243532
720,6953
721,224762
722,242694
723,38909
724,168088
725,165987
726,171048
727,76941
728,163182
729,206156
730,218434
731,81203
732,170524
733,152205
734,95184
735,67834
736,45161
737,186084
738,87797
739,170495
740,130247
741,219668
742,193494
743,186146
744,105499
745,163006
746,69921
747,219020
748,82943
749,176215
750,52029
751,66016
752,82102
753,160277
754,236064
755,51616
756,227883
757,217400
758,229193
759,214024
760,42974
761,223827
762,29452
763,110987
764,157848
765,151935
766,27934
767,41245
768,214364
769,106654
770,164876
771,225330
772,237207
773,239466
774,85887
775,154871
776,179458
777,58550
778,86468
779,213393
780,115633
781,52823
782,66381
783,235260
784,126756
785,20450
786,237023
787,246626
788,29942
789,163563
790,42177
791,42625
792,124165
793,148056
794,49144
795,66430
796,112907
797,24779
798,70921
799,204001
800,5381
801,39017
802,17337
803,141892
804,81949
805,149068
806,160330
807,87873
808,61927
809,218857
810,136966
811,99857
812,64393
813,151180
814,52654
815,138040
816,116454
817,125258
818,41401
819,205400
820,212998
821,189214
822,64520
823,112583
824,153596
825,239435
826,184617
827,150390
828,202797
829,185342
830,11022
831,153568
832,43493
833,89436
834,230000
835,79796
836,53547
837,189822
838,143054
839,11937
840,28233
841,145230
842,52946
843,59528
844,44340
845,142109
846,87918
847,172993
848,147972
849,238722
850,106561
851,89225
852,178481
853,193811
854,93060
855,68742
856,229038
857,96466
858,34074
859,218471
860,230125
861,244549
862,212114
863,232492
864,48328
865,100697
866,194526
867,221610
868,134768
869,124402
870,54512
871,44876
872,84741
873,110446
874,105778
875,118123
876,197319
877,211083
878,38807
879,178721
880,94568
881,235754
882,194585
883,116826
884,127817
885,175118
886,135889
887,127748
888,181313
889,86771
890,113041
891,199471
892,89827
893,147238
894,97585
895,137310
896,32935
897,33430
898,245138
899,96769
900,117298
901,212590
902,203673
903,228291
904,139135
905,249556
906,221247
907,164212
908,158385
909,153352
910,65565
911,22796
912,173797
913,244077
914,37916
915,153666
916,176512
917,3403
918,117202
919,193576
920,50685
921,79018
922,121749
923,213581
924,122804
925,179303
926,32718
927,55931
928,92416
929,238145
930,102591
931,232903
932,23656
933,110565
934,82949
935,89176
936,243170
937,184911
938,227378
939,226987
940,182708
941,25542
942,212713
943,164020
944,127470
945,154969
946,233440
947,2908
948,122661
949,171216
950,111793
951,192120
952,101845
953,191830
954,170394
955,87121
956,55953
957,110043
958,49017
959,13795
960,215354
961,249952
962,234081
963,109050
964,246926
965,97818
966,107549
967,223031
968,122110
969,113798
970,132430
971,60590
972,40622
973,156275
974,221803
975,109760
976,147607
977,177785
978,236817
979,214077
980,98771
981,57624
982,148736
983,65342
984,26520
985,123026
986,248863
987,120810
988,130614
989,226399
990,34954
991,117613
992,155219
993,22214
994,6777
995,121197
996,124252
997,224929
998,168099
999,351
1000,74844
1001,83146
1002,176569
1003,149091
1004,15072
1005,207657
1006,150666
1007,70510
1008,241112
1009,94827
1010,149014
1011,200525
1012,209397
1013,160405
1014,189367
1015,248611
1016,185134
1017,219488
1018,66296
1019,159636
1020,57265
1021,100065
1022,207409
1023,133652
1024,160300
1025,6014
1026,111615
1027,97210
1028,137154
1029,230473
1030,174356
1031,218024
1032,80525
1033,208685
1034,181708
1035,83680
1036,175334
1037,199998
1038,127784
1039,103159
1040,208968
1041,18187
1042,188859
1043,5271
1044,123961
1045,70696
1046,212069
1047,115097
1048,236547
1049,66133
1050,28780
1051,67376
1052,34855
1053,3831
1054,103700
1055,64661
1056,136998
1057,19938
1058,249356
1059,83916
1060,186509
1061,86205
1062,23438
1063,138941
1064,184687
1065,3244
1066,218671
1067,166210
1068,14018
1069,130605
1070,146733
1071,77523
1072,183683
1073,122022
1074,239497
1075,246745
1076,164711
1077,104226
1078,218599
1079,48575
1080,244221
1081,38157
1082,176841
1083,131653
1084,7388
1085,29214
1086,130325
1087,120544
1088,93489
1089,171131
1090,217248
1091,52650
1092,248512
1093,216258
1094,16280
1095,4448
1096,55622
1097,173063
1098,87776
1099,228090
1100,19682
1101,72919
1102,160989
1103,232598
1104,241105
1105,139827
1106,222978
1107,105123
1108,88349
1109,70646
1110,77592
1111,148708
1112,15776
1113,167771
1114,183700
1115,80971
1116,211855
1117,167215
1118,51996
1119,93313
1120,131789
1121,55945
1122,99243
1123,104636
1124,152609
1125,139804
1126,190592
1127,180046
1128,42271
1129,98503
1130,134562
1131,91191
1132,211197
1133,44356
1134,135302
1135,150296
1136,223331
1137,16422
1138,104116
1139,124711
1140,148077
1141,5172
1142,201936
1143,167378
1144,2168
1145,247898
1146,27919
1147,26599
1148,242546
1149,72240
1150,81952
1151,109290
1152,162796
1153,96517
1154,161760
1155,228097
1156,86109
1157,16977
1158,58586
1159,133140
1160,125445
1161,147267
1162,87677
1163,201690
1164,91565
1165,186284
1166,170686
1167,57937
1168,143650
1169,70461
1170,185733
1171,158888
1172,130998
1173,97184
1174,149961
1175,129341
1176,245994
1177,2971
1178,217994
1179,246795
1180,57859
1181,3491
1182,118653
1183,225676
1184,147749
1185,17657
1186,146498
1187,136796
1188,58956
1189,17951
1190,110093
1191,116939
1192,171502
1193,213541
1194,216800
1195,194515
1196,108592
1197,193747
1198,137565
1199,176296
1200,141511
1201,196162
1202,139647
1203,13413
1204,72934
1205,48690
1206,95088
1207,213430
1208,221596
1209,249699
1210,122070
1211,51624
1212,234941
1213,222607
1214,47761
1215,16128
1216,105826
1217,226313
1218,32947
1219,97297
1220,206485
1221,115644
1222,101965
1223,204755
1224,208252
1225,896
1226,231738
1227,167944
1228,91136
1229,164259
1230,114989
1231,104752
1232,108346
1233,19788
1234,58043
1235,214734
1236,203747
1237,160667
1238,98104
1239,185460
1240,171576
1241,111623
1242,198359
1243,219648
1244,150310
1245,240350
1246,479
1247,201920
1248,60715
1249,3327
1250,159516
1251,186459
1252,194925
1253,59349
1254,134912
1255,151343
1256,225892
1257,244495
1258,94525
1259,99714
1260,167533
1261,83027
1262,96116
1263,73997
1264,107520
1265,117388
1266,9533
1267,132580
1268,98497
1269,182599
1270,88673
1271,211322
1272,133141
1273,181604
1274,60735
1275,183226
1276,36103
1277,184508
1278,30058
1279,224740
1280,149280
1281,100209
1282,167958
1283,61497
1284,67517
1285,184195
1286,92481
1287,150051
1288,230417
1289,82421
1290,240858
1291,221869
1292,162161
1293,1828
1294,89415
1295,139350
1296,124506
1297,163359
1298,55407
1299,141597
1300,51519
1301,57742
1302,57439
1303,24379
1304,91049
1305,249916
1306,59213
1307,111211
1308,155213
1309,245345
1310,133929
1311,171993
1312,209313
1313,230870
1314,201440
1315,218713
1316,202615
1317,14914
1318,204477
1319,83527
1320,36069
1321,232054
1322,198765
1323,210896
1324,229746
1325,121611
1326,241030
1327,24965
1328,242471
1329,86741
1330,97900
1331,134528
1332,128926
1333,191454
1334,40143
1335,218498
1336,183334
1337,136317
1338,172269
1339,109029
1340,217941
1341,199984
1342,236355
1343,23549
1344,180495
1345,2116
1346,212237
1347,110521
1348,3870
1349,75040
1350,166853
1351,51605
1352,158969
1353,65032
1354,203370
1355,181545
1356,127747
1357,57353
1358,74870
1359,227941
1360,83104
1361,219459
1362,6792
1363,127505
1364,41713
1365,31326
1366,37092
1367,71001
1368,191973
1369,182602
1370,68346
1371,58650
1372,144150
1373,57279
1374,173325
1375,183210
1376,21911
1377,221359
1378,192784
1379,44642
1380,142839
1381,121855
1382,222113
1383,204843
1384,149513
1385,147579
1386,92154
1387,30928
1388,181311
1389,108211
1390,58467
1391,73634
1392,193695
1393,142663
1394,142317
1395,29
1396,22306
1397,83846
1398,139266
1399,21204
1400,159485
1401,2636
1402,106505
1403,211722
1404,137403
1405,55910
1406,209766
1407,231492
1408,160931
1409,165504
1410,618
1411,55923
1412,16755
1413,242684
1414,195261
1415,104641
1416,9892
1417,171285
1418,14745
1419,236424
1420,195294
1421,215260
1422,113492
1423,48002
1424,55742
1425,108990
1426,104074
1427,168474
1428,137969
1429,154993
1430,23338
1431,185836
1432,165204
1433,166046
1434,86984
1435,243502
1436,12525
1437,18731
1438,47553
1439,108254
1440,74529
1441,159257
1442,59623
1443,242922
1444,226260
1445,121343
1446,60334
1447,16692
1448,114583
1449,92585
1450,42370
1451,232611
1452,248867
1453,223835
1454,121960
1455,151918
1456,84919
1457,150564
1458,57845
1459,221484
1460,225758
1461,210127
1462,143648
1463,120131
1464,176999
1465,206559
1466,202882
1467,128345
1468,241838
1469,201588
1470,205958
1471,10046
1472,2688
1473,232333
1474,219715
1475,164988
1476,213910
1477,198475
1478,101546
1479,163572
1480,192560
1481,204850
1482,41460
1483,180990
1484,165159
1485,200239
1486,219259
1487,24820
1488,78833
1489,225159
1490,9103
1491,201289
1492,130742
1493,187645
1494,96733
1495,217103
1496,168362
1497,80998
1498,56264
1499,240483
1500,47337
1501,231409
1502,1093
1503,155696
1504,180941
1505,25510
1506,233372
1507,78392
1508,132229
1509,124310
1510,78895
1511,160534
1512,241494
1513,197067
1514,148315
1515,118086
1516,26082
1517,104707
1518,246116
1519,99207
1520,134298
1521,191434
1522,18472
1523,239863
1524,153485
1525,132952
1526,240467
1527,176333
1528,41656
1529,148084
1530,63760
1531,217608
1532,61210
1533,205507
1534,228427
1535,129420
1536,184547
1537,212414
1538,4554
1539,239325
1540,106617
1541,2563
1542,182420
1543,152002
1544,122806
1545,145863
1546,143199
1547,111716
1548,111381
1549,117662
1550,101300
1551,13231
1552,98279
1553,249160
1554,182487
1555,50695
1556,58649
1557,65874
1558,185539
1559,13797
1560,106062
1561,9725
1562,17637
1563,15281
1564,244676
1565,232277
1566,244995
1567,211264
1568,46615
1569,224499
1570,95591
1571,9126
1572,108565
1573,144893
1574,59232
1575,35424
1576,98092
1577,57657
1578,51351
1579,220244
1580,27553
1581,8768
1582,121542
1583,88249
1584,242096
1585,134112
1586,103078
1587,94235
1588,118749
1589,234996
1590,111763
1591,190126
1592,114500
1593,221745
1594,214884
1595,197767
1596,30003
1597,220952
1598,197541
1599,123423
1600,222819
1601,141903
1602,46640
1603,122084
1604,241964
1605,246620
1606,138034
1607,185502
1608,168184
1609,167424
1610,236676
1611,78030
1612,26603
1613,191133
1614,230989
1615,176144
1616,58490
1617,28598
1618,190594
1619,220911
1620,148003
1621,148806
1622,48596
1623,235313
1624,194388
1625,55808
1626,54210
1627,45068
1628,159884
1629,40579
1630,210645
1631,13379
1632,185944
1633,106609
1634,79500
1635,96166
1636,157303
1637,50739
1638,64092
1639,155964
1640,112356
1641,169171
1642,249287
1643,152292
1644,141716
1645,36017
1646,133038
1647,70584
1648,21948
1649,6707
1650,38188
1651,142484
1652,103249
1653,58157
1654,171223
1655,239670
1656,106968
1657,50571
1658,109234
1659,85890
1660,180401
1661,183208
1662,184546
1663,51166
1664,217114
1665,53444
1666,193138
1667,24903
1668,194792
1669,132477
1670,34751
1671,45459
1672,245565
1673,214198
1674,202092
1675,234098
1676,173164
1677,249046
1678,158739
1679,120685
1680,49918
1681,89082
1682,8997
1683,169167
1684,30827
1685,92933
1686,92434
1687,154436
1688,168275
1689,21704
1690,92029
1691,183830
1692,189149
1693,62280
1694,114066
1695,227558
1696,120307
1697,148699
1698,232280
1699,192050
1700,108224
1701,213781
1702,102741
1703,131797
1704,117641
1705,117847
1706,94943
1707,245004
1708,130550
1709,185515
1710,25366
1711,55439
1712,82829
1713,192764
1714,30514
1715,74336
1716,119761
1717,247327
1718,22842
1719,3094
1720,86412
1721,227347
1722,229878
1723,236778
1724,242936
1725,138528
1726,217798
1727,218446
1728,19809
1729,104222
1730,240015
1731,228589
1732,183414
1733,143802
1734,148443
1735,189927
1736,75640
1737,30214
1738,218514
1739,163852
1740,149645
1741,196834
1742,101909
1743,172564
1744,167019
1745,49305
1746,211400
1747,248177
1748,16030
1749,179522
1750,52035
1751,182234
1752,137089
1753,73837
1754,90385
1755,47388
1756,39389
1757,20159
1758,94006
1759,216223
1760,29434
1761,205170
1762,2038
1763,209712
1764,175850
1765,86827
1766,206122
1767,110379
1768,210462
1769,164011
1770,102834
1771,191899
1772,58486
1773,178427
1774,166032
1775,118548
1776,224157
1777,169856
1778,229424
1779,168793
1780,175378
1781,198029
1782,230477
1783,207317
1784,112515
1785,236720
1786,160677
1787,211072
1788,85610
1789,164800
1790,169782
1791,100755
1792,173418
1793,196266
1794,206767
1795,212873
1796,41736
1797,177617
1798,199879
1799,195142
1800,124013
1801,239041
1802,117652
1803,79652
1804,35776
1805,136640
1806,104219
1807,25503
1808,160578
1809,130479
1810,241099
1811,61608
1812,102583
1813,125352
1814,199897
1815,76757
1816,228935
1817,65643
1818,180070
1819,143932
1820,147730
1821,20091
1822,220793
1823,163027
1824,58745
1825,89762
1826,29887
1827,155608
1828,4008
1829,35684
1830,37397
1831,136711
1832,157629
1833,177221
1834,112297
1835,24128
1836,130324
1837,93961
1838,33513
1839,51048
1840,127351
1841,158327
1842,5433
1843,96175
1844,125857
1845,43034
1846,211272
1847,160629
1848,49651
1849,165043
1850,62031
1851,61571
1852,147757
1853,189122
1854,119263
1855,194670
1856,1676
1857,163020
1858,182993
1859,137005
1860,168856
1861,128858
1862,72006
1863,13730
1864,38283
1865,150849
1866,88426
1867,123812
1868,204062
1869,4801
1870,67160
1871,138347
1872,190410
1873,96658
1874,16296
1875,10013
1876,208507
1877,14160
1878,37268
1879,169264
1880,68122
1881,125810
1882,200196
1883,217309
1884,139394
1885,237094
1886,102804
1887,172185
1888,4377
1889,89206
1890,223481
1891,145513
1892,232596
1893,167221
1894,137418
1895,46366
1896,214885
1897,69796
1898,20149
1899,31616
1900,129979
1901,215089
1902,41124
1903,225513
1904,112259
1905,185933
1906,13771
1907,130121
1908,166609
1909,126699
1910,164825
1911,92872
1912,235951
1913,146276
1914,172026
1915,42215
1916,49901
1917,220367
1918,249877
1919,217751
1920,185959
1921,126188
1922,85306
1923,81955
1924,109076
1925,179277
1926,190077
1927,225977
1928,8990
1929,109366
1930,94815
1931,216981
1932,97750
1933,210648
1934,108623
1935,55885
1936,163913
1937,135984
1938,152024
1939,211100
1940,19583
1941,211134
1942,140914
1943,178556
1944,143485
1945,96158
1946,100848
1947,91169
1948,25091
1949,89962
1950,44887
1951,240965
1952,197351
1953,36086
1954,66580
1955,27010
1956,107060
1957,228454
1958,38490
1959,66995
1960,64806
1961,181224
1962,196543
1963,169143
1964,121980
1965,86173
1966,165272
1967,178273
1968,106483
1969,112449
1970,203772
1971,200036
1972,85055
1973,119609
1974,108935
1975,118995
1976,183321
1977,182185
1978,245236
1979,153579
1980,236350
1981,163050
1982,215130
1983,46161
1984,88883
1985,117963
1986,136277
1987,90105
1988,21332
1989,43497
1990,133653
1991,122596
1992,160010
1993,224956
1994,100719
1995,149680
1996,237703
1997,166946
1998,228084
1999,104577
2000,208413
2001,143902
2002,30073
2003,85103
2004,127072
2005,176980
2006,65459
2007,230080
2008,122190
2009,249312
2010,106440
2011,16750
2012,23856
2013,214248
2014,111173
2015,20140
2016,168970
2017,22763
2018,4880
2019,1061
2020,86002
2021,193122
2022,50095
2023,129692
2024,165911
2025,30368
2026,94085
2027,249577
2028,58071
2029,228915
2030,64008
2031,90207
2032,212669
2033,242370
2034,56645
2035,133344
2036,34441
2037,137085
2038,112962
2039,198682
2040,21559
2041,175041
2042,90097
2043,12961
2044,151788
2045,82910
2046,122129
2047,140685
2048,137859
2049,75808
2050,215855
2051,161089
2052,179282
2053,76345
2054,115174
2055,118400
2056,68200
2057,120477
2058,206718
2059,153591
2060,166617
2061,220876
2062,19402
2063,230345
2064,218321
2065,27694
2066,111587
2067,66636
2068,95934
2069,154486
2070,193152
2071,26827
2072,71465
2073,73364
2074,44816
2075,176261
2076,104337
2077,162201
2078,220155
2079,183523
2080,45524
2081,193976
2082,45065
2083,4382
2084,239944
2085,62411
2086,164048
2087,129196
2088,171885
2089,100162
2090,49556
2091,120545
2092,206440
2093,116207
2094,27699
2095,198300
2096,31662
2097,236712
2098,146961
2099,95178
2100,143252
2101,240744
2102,61678
2103,39828
2104,102426
2105,23501
2106,86260
2107,12538
2108,170700
2109,100217
2110,135464
2111,98421
2112,22411
2113,68783
2114,13652
2115,58663
2116,110580
2117,50669
2118,45020
2119,118611
2120,90520
2121,67922
2122,174040
2123,132654
2124,22212
2125,137360
2126,69734
2127,222118
2128,103405
2129,192775
2130,222962
2131,191577
2132,105833
2133,188222
2134,238214
2135,217754
2136,200422
2137,128872
2138,31890
2139,16208
2140,224031
2141,146812
2142,89428
2143,85266
2144,122611
2145,168058
2146,189990
2147,146193
2148,154129
2149,161614
2150,232888
2151,98237
2152,51908
2153,110818
2154,129379
2155,15061
2156,245523
2157,208405
2158,860
2159,92804
2160,35099
2161,196748
2162,29418
2163,62029
2164,126686
2165,134114
2166,148381
2167,11064
2168,109608
2169,115061
2170,32916
2171,126679
2172,48717
2173,141320
2174,179147
2175,188365
2176,72250
2177,75939
2178,72103
2179,164670
2180,132424
2181,149973
2182,73589
2183,176088
2184,157051
2185,200791
2186,63820
2187,217239
2188,96164
2189,231622
2190,60641
2191,226205
2192,135669
2193,248622
2194,223273
2195,29187
2196,204559
2197,90402
2198,184180
2199,106362
2200,84628
2201,246030
2202,194493
2203,38446
2204,71712
2205,179817
2206,64408
2207,55318
2208,13776
2209,188228
2210,180955
2211,182258
2212,194345
2213,189485
2214,150526
2215,117187
2216,205145
2217,93592
2218,120838
2219,96231
2220,216848
2221,128036
2222,180225
2223,64923
2224,115057
2225,240343
2226,4763
2227,101211
2228,249526
2229,119347
2230,81499
2231,87174
2232,134826
2233,154587
2234,147489
2235,42086
2236,31099
2237,191699
2238,36781
2239,78706
2240,13751
2241,202326
2242,158780
2243,66201
2244,46139
2245,72164
2246,213847
2247,234928
2248,222101
2249,32861
2250,249308
2251,140962
2252,57504
2253,215789
2254,246562
2255,77605
2256,14509
2257,241861
2258,63998
2259,88119
2260,56753
2261,201791
2262,222108
2263,91394
2264,103317
2265,51225
2266,246146
2267,204699
2268,185595
2269,204376
2270,219595
2271,212580
2272,53802
2273,40655
2274,64467
2275,16876
2276,48953
2277,214645
2278,232759
2279,149733
2280,211019
2281,184300
2282,43198
2283,119055
2284,158136
2285,235834
2286,82427
2287,144513
2288,87069
2289,233499
2290,130302
2291,135515
2292,30148
2293,209527
2294,175842
2295,85938
2296,209216
2297,22574
2298,39288
2299,192027
2300,214867
2301,219624
2302,46164
2303,114065
2304,109612
2305,43061
2306,87375
2307,89726
2308,16374
2309,116587
2310,90690
2311,120926
2312,239162
2313,132385
2314,89458
2315,177153
2316,126016
2317,80211
2318,88901
2319,78883
2320,44302
2321,101414
2322,200473
2323,247341
2324,100811
2325,212067
2326,237792
2327,189672
2328,170690
2329,164660
2330,13618
2331,132383
2332,1465
2333,212455
2334,79893
2335,180628
2336,42479
2337,33759
2338,200566
2339,124734
2340,229133
2341,181997
2342,225279
2343,148066
2344,167860
2345,46576
2346,27401
2347,224668
2348,124511
2349,10616
2350,244167
2351,108512
2352,53794
2353,52289
2354,125798
2355,194360
2356,131677
2357,15049
2358,186712
2359,99307
2360,159488
2361,183098
2362,186227
2363,223761
2364,125029
2365,162198
2366,98066
2367,213489
2368,219647
2369,51334
2370,113245
2371,117226
2372,87585
2373,72963
2374,150189
2375,38641
2376,60748
2377,169348
2378,240419
2379,109729
2380,37889
2381,138127
2382,148575
2383,236209
2384,133669
2385,246235
2386,75866
2387,101331
2388,136066
2389,77775
2390,67512
2391,245569
2392,231991
2393,232719
2394,5795
2395,70250
2396,18912
2397,92841
2398,96219
2399,34534
2400,177717
2401,17659
2402,199615
2403,142266
2404,204142
2405,228149
2406,58520
2407,52924
2408,76432
2409,42755
2410,215963
2411,84101
2412,177230
2413,237890
2414,202804
2415,123715
2416,95283
2417,40226
2418,91073
2419,159934
2420,68692
2421,178276
2422,31432
2423,86385
2424,135279
2425,218323
2426,105333
2427,218716
2428,184458
2429,163474
2430,167549
2431,43406
2432,153339
2433,111124
2434,11003
2435,53062
2436,69497
2437,39587
2438,28120
2439,94491
2440,214934
2441,220172
2442,14880
2443,2084
2444,160851
2445,93113
2446,73682
2447,84190
2448,103678
2449,10545
2450,41207
2451,239125
2452,30418
2453,192920
2454,96246
2455,212676
2456,152455
2457,151716
2458,122276
2459,63077
2460,143190
2461,9510
2462,73128
2463,247823
2464,66392
2465,184589
2466,61824
2467,194629
2468,55880
2469,138820
2470,248374
2471,3503
2472,48839
2473,194746
2474,38800
2475,4888
2476,132954
2477,186738
2478,217522
2479,87830
2480,187606
2481,3152
2482,78638
2483,214367
2484,25847
2485,222718
2486,17767
2487,220909
2488,107405
2489,204774
2490,97246
2491,200592
2492,220237
2493,136899
2494,127971
2495,229342
2496,218102
2497,96380
2498,46590
